PK,DESFASE,NORTE,ESTE,ELEVACION,DESCRIPCION
87300,5.569,989633.1016,1109118.339,253.441,PD22
87310,5.611,989639.3762,1109126.118,253.391,PD22
87319.27,5.647,989645.1894,1109133.337,253.355,PD22
87320,5.65,989645.6448,1109133.903,253.352,PD22
87330,5.689,989651.9129,1109141.695,253.305,PD22
87340,5.672,989658.2251,1109149.451,253.247,PD22
87350,5.728,989664.4806,1109157.253,253.195,PD22
87353.19,5.695,989666.5139,1109159.708,253.185,PD22
87360,5.731,989670.9272,1109165.023,253.162,PD22
87370,5.694,989677.3841,1109172.659,253.11,PD22
87380,5.658,989683.8405,1109180.295,253.06,PD22
87390,5.633,989690.2888,1109187.939,253.011,PD22
87400,5.638,989696.7133,1109195.602,252.965,PD22
87410,5.62,989703.1564,1109203.25,252.915,PD22
87420,5.578,989709.6171,1109210.883,252.865,PD22
87430,5.626,989716.0094,1109218.573,252.825,PD22
87440,5.529,989722.5124,1109226.17,252.777,PD22
87450,5.572,989728.9085,1109233.857,252.72,PD22
87460,5.583,989735.3291,1109241.524,252.671,PD22
87470,5.594,989741.749,1109249.191,252.621,PD22
87480,5.598,989748.1754,1109256.853,252.572,PD22
87490,5.634,989754.5765,1109264.536,252.523,PD22
87499.49,5.622,989760.6828,1109271.792,252.49,PD22
87500,5.621,989761.012,1109272.184,252.488,PD22
87510,5.68,989767.3889,1109279.887,252.421,PD22
87520,5.642,989773.841,1109287.527,252.371,PD22
87530,5.66,989780.2493,1109295.204,252.353,PD22
87540,5.645,989786.6837,1109302.859,252.353,PD22
87550,5.618,989793.1271,1109310.506,252.379,PD22
87558.94,5.675,989798.8274,1109317.398,252.426,PD22
87558.94,5.675,989798.8274,1109317.398,252.426,PD22
87560,5.682,989799.5005,1109318.212,252.432,PD22
87566.84,5.696,989803.8852,1109323.467,252.492,PD22
87566.84,5.696,989803.8852,1109323.467,252.492,PD22
87570,5.702,989805.9079,1109325.89,252.521,PD22
87580,5.632,989812.3841,1109333.51,252.625,PD22
87590,5.753,989818.714,1109341.252,252.76,PD22
87600,5.727,989825.1562,1109348.901,252.917,PD22
87610,5.726,989831.5792,1109356.565,253.081,PD22
87620,5.704,989838.0188,1109364.216,253.246,PD22
87630,5.742,989844.4122,1109371.905,253.408,PD22
87640,5.715,989850.8555,1109379.553,253.582,PD22
87650,5.709,989857.2823,1109387.214,253.75,PD22
87660,5.705,989863.7081,1109394.876,253.906,PD22
87670,5.716,989870.1226,1109402.548,254.075,PD22
87680,5.675,989876.5761,1109410.187,254.238,PD22
87690,5.676,989882.9979,1109417.853,254.413,PD22
87700,5.684,989889.4146,1109425.522,254.573,PD22
87710,5.675,989895.8441,1109433.182,254.749,PD22
87720,5.606,989902.3183,1109440.801,254.908,PD22
